district,policy,feature,policy_type,policy_value,supply_before,supply_after,gap_before,gap_after,gap_delta,raw_welfare_budget_per_capita_before,raw_welfare_budget_per_capita_after,raw_public_sports_facilities_count_before,raw_public_sports_facilities_count_after,raw_parks_count_before,raw_parks_count_after,raw_libraries_count_before,raw_libraries_count_after,raw_medical_institutions_count_before,raw_medical_institutions_count_after,raw_health_promotion_centers_count_before,raw_health_promotion_centers_count_after,raw_elderly_leisure_welfare_facilities_count_before,raw_elderly_leisure_welfare_facilities_count_after,raw_in_home_elderly_welfare_facilities_count_before,raw_in_home_elderly_welfare_facilities_count_after,raw_cultural_satisfaction_before,raw_cultural_satisfaction_after
동작구,parks_count +10%,parks_count,pct,0.1,35.11423497367353,35.11423497367353,14.672077375700304,14.672077375700304,0.0,,,,,87.0,95.7,,,,,,,,,,,,
관악구,parks_count +10%,parks_count,pct,0.1,36.382131389784334,36.382131389784334,29.186290306150397,29.186290306150397,0.0,,,,,132.0,145.20000000000002,,,,,,,,,,,,
서초구,parks_count +10%,parks_count,pct,0.1,50.889848727589424,50.889848727589424,-34.55128167164027,-34.55128167164027,0.0,,,,,178.0,195.8,,,,,,,,,,,,
강남구,parks_count +10%,parks_count,pct,0.1,62.05460257660455,62.05460257660455,-23.940579729518376,-23.940579729518376,0.0,,,,,167.0,183.70000000000002,,,,,,,,,,,,
송파구,parks_count +10%,parks_count,pct,0.1,48.90661329112853,48.90661329112853,0.16185210999524458,0.16185210999524458,0.0,,,,,174.0,191.4,,,,,,,,,,,,
강동구,parks_count +10%,parks_count,pct,0.1,34.70467933623486,34.70467933623486,11.761867388760557,11.761867388760557,0.0,,,,,131.0,144.10000000000002,,,,,,,,,,,,
종로구,libraries_count +1개,libraries_count,abs,1.0,34.26225698329131,34.26225698329131,15.310131396600468,15.310131396600468,0.0,,,,,,,43.0,44.0,,,,,,,,,,
중구,libraries_count +1개,libraries_count,abs,1.0,33.874382588790084,33.874382588790084,-6.2765624993063796,-6.2765624993063796,0.0,,,,,,,37.0,38.0,,,,,,,,,,
용산구,libraries_count +1개,libraries_count,abs,1.0,22.5032633041716,22.5032633041716,8.24644250039276,8.24644250039276,0.0,,,,,,,20.0,21.0,,,,,,,,,,
성동구,libraries_count +1개,libraries_count,abs,1.0,29.707849040747323,29.707849040747323,9.498425136507809,9.498425136507809,0.0,,,,,,,10.0,11.0,,,,,,,,,,
광진구,libraries_count +1개,libraries_count,abs,1.0,23.579694423333212,23.579694423333212,31.347035453348266,31.347035453348266,0.0,,,,,,,14.0,15.0,,,,,,,,,,
동대문구,libraries_count +1개,libraries_count,abs,1.0,31.718312078736787,31.718312078736787,-0.519498581949378,-0.519498581949378,0.0,,,,,,,19.0,20.0,,,,,,,,,,
중랑구,libraries_count +1개,libraries_count,abs,1.0,40.23835413063705,40.23835413063705,17.689962958910648,17.689962958910648,0.0,,,,,,,8.0,9.0,,,,,,,,,,
성북구,libraries_count +1개,libraries_count,abs,1.0,45.73904685497631,45.73904685497631,4.030870606855743,4.030870606855743,0.0,,,,,,,26.0,27.0,,,,,,,,,,
강북구,libraries_count +1개,libraries_count,abs,1.0,31.592485374275686,31.592485374275686,39.67000063702611,39.67000063702611,0.0,,,,,,,11.0,12.0,,,,,,,,,,
도봉구,libraries_count +1개,libraries_count,abs,1.0,37.243119629871735,37.243119629871735,22.937372477005248,22.937372477005248,0.0,,,,,,,10.0,11.0,,,,,,,,,,
